evt,mtt,mu_pt,mu_abseta,pileup,weight,nevents,N_gen,gw_pos,gw_neg
163,1687.1966773494726,188.37723,0.51953125,13.0,1.0,4217.0,4217.0,4217.0,0.0
164,1578.8293322629045,213.54422,1.458252,32.0,1.0,4217.0,4217.0,4217.0,0.0
165,2006.571286724052,64.73233,0.91711426,17.0,1.0,4217.0,4217.0,4217.0,0.0
166,1835.5248466052367,135.37141,0.030029297,25.0,1.0,4217.0,4217.0,4217.0,0.0
167,1439.9634876479602,135.37141,0.030029297,25.0,1.0,4217.0,4217.0,4217.0,0.0
168,1799.0635827809888,287.2949,0.02773285,15.0,1.0,4217.0,4217.0,4217.0,0.0
169,1551.2675970607197,287.2949,0.02773285,15.0,1.0,4217.0,4217.0,4217.0,0.0
170,1557.08915579519,97.80785,0.025882721,27.0,1.0,4217.0,4217.0,4217.0,0.0
171,1384.4858857602374,58.857224,0.072280884,41.0,1.0,4217.0,4217.0,4217.0,0.0
172,1264.3997543430944,104.3813,0.46289062,10.0,1.0,4217.0,4217.0,4217.0,0.0
173,1014.8708702545118,104.3813,0.46289062,10.0,1.0,4217.0,4217.0,4217.0,0.0
174,2028.5162158031,104.36634,0.13381958,28.0,1.0,4217.0,4217.0,4217.0,0.0
175,1212.259466596703,104.36634,0.13381958,28.0,1.0,4217.0,4217.0,4217.0,0.0
176,1834.8674056363625,184.0684,0.4031372,22.0,1.0,4217.0,4217.0,4217.0,0.0
177,3055.1260875681146,479.07086,0.067337036,24.0,1.0,4217.0,4217.0,4217.0,0.0
178,2036.7196134203225,479.07086,0.067337036,24.0,1.0,4217.0,4217.0,4217.0,0.0
179,2018.9530339263092,479.07086,0.067337036,24.0,1.0,4217.0,4217.0,4217.0,0.0
180,1525.632148494177,103.9739,0.24240112,25.0,1.0,4217.0,4217.0,4217.0,0.0
181,1658.01985196138,103.9739,0.24240112,25.0,1.0,4217.0,4217.0,4217.0,0.0
182,1625.477544737342,172.8174,0.35064697,22.0,1.0,4217.0,4217.0,4217.0,0.0
183,1887.381354267938,172.8174,0.35064697,22.0,1.0,4217.0,4217.0,4217.0,0.0
184,1306.7735422105457,172.8174,0.35064697,22.0,1.0,4217.0,4217.0,4217.0,0.0
185,1692.5623043465237,150.93813,0.62316895,22.0,1.0,4217.0,4217.0,4217.0,0.0
186,1686.5336145958745,150.93813,0.62316895,22.0,1.0,4217.0,4217.0,4217.0,0.0
187,2007.9962889999852,63.213387,0.59350586,17.0,1.0,4217.0,4217.0,4217.0,0.0
188,1921.6894199505743,294.07422,0.7373047,24.0,1.0,4217.0,4217.0,4217.0,0.0
189,1969.8874394088264,147.55392,0.035820007,20.0,1.0,4217.0,4217.0,4217.0,0.0
190,1758.9801317435797,147.55392,0.035820007,20.0,1.0,4217.0,4217.0,4217.0,0.0
191,1701.721889140842,110.9899,1.7021484,17.0,1.0,4217.0,4217.0,4217.0,0.0
192,1789.4841514417285,110.9899,1.7021484,17.0,1.0,4217.0,4217.0,4217.0,0.0
193,1318.973772125439,110.9899,1.7021484,17.0,1.0,4217.0,4217.0,4217.0,0.0
194,2348.036595730569,98.782875,0.15304565,16.0,1.0,4217.0,4217.0,4217.0,0.0
195,2409.1753188049797,296.39444,0.41326904,26.0,1.0,4217.0,4217.0,4217.0,0.0
196,2363.5163262462224,296.39444,0.41326904,26.0,1.0,4217.0,4217.0,4217.0,0.0
197,2078.224795134872,225.05885,0.5234375,27.0,1.0,4217.0,4217.0,4217.0,0.0
198,1308.0260986208827,225.05885,0.5234375,27.0,1.0,4217.0,4217.0,4217.0,0.0
199,1813.0920912216711,361.2579,0.24945068,20.0,1.0,4217.0,4217.0,4217.0,0.0
200,1769.9061696559263,361.2579,0.24945068,20.0,1.0,4217.0,4217.0,4217.0,0.0
201,1398.1350923591156,144.71951,0.24212646,21.0,1.0,4217.0,4217.0,4217.0,0.0
202,2195.073611859524,144.71951,0.24212646,21.0,1.0,4217.0,4217.0,4217.0,0.0
