mtt,mu_pt,mu_abseta,weight,pileup
1535.8294754712956,191.50694,0.17486572,1.0,27.0
2054.987352797081,225.7974,0.59729004,1.0,26.0
1865.967228730388,357.59262,0.4437256,1.0,20.0
1925.3453332968925,87.3127,0.595459,1.0,16.0
2264.47631471298,130.26767,0.056137085,1.0,19.0
1931.5084920993208,127.01075,0.6657715,1.0,22.0
1339.022549552653,242.23848,0.8260498,1.0,15.0
1625.8231325775612,144.2133,0.45440674,1.0,21.0
2180.344270570908,253.4662,0.8679199,1.0,18.0
2042.1376559635173,113.688034,0.2503662,1.0,28.0
2088.01475825338,303.20596,0.58361816,1.0,15.0
2056.5238071755048,179.59279,0.19558716,1.0,17.0
1721.319665664557,435.14404,1.2050781,1.0,10.0
1801.0786425142185,129.19641,0.12284851,1.0,14.0
2002.4478182568964,133.00098,0.92614746,1.0,27.0
1883.9808986131738,226.18137,0.586792,1.0,33.0
1430.5829408016182,85.38556,1.2988281,1.0,25.0
2471.305102430118,159.648,0.38848877,1.0,21.0
1837.8700421949302,194.01617,1.3190918,1.0,32.0
2148.4659516811303,146.95137,1.3308105,1.0,33.0
2128.228120609005,458.18994,0.11431885,1.0,20.0
1929.0768960465357,74.106064,1.1555176,1.0,34.0
1437.0900833179028,149.00642,0.25994873,1.0,24.0
1510.3450115347496,78.66892,0.14041138,1.0,25.0
3193.521997306865,233.2935,0.87316895,1.0,20.0
2262.4272926057333,231.06833,0.41693115,1.0,17.0
1981.5148347477764,234.4204,0.5649414,1.0,26.0
2300.0718297854805,352.89423,0.9827881,1.0,11.0
1824.6478907607936,263.17172,1.3063965,1.0,16.0
1584.2816530394075,108.742836,0.61535645,1.0,24.0
2014.374037259973,220.151,1.2731934,1.0,30.0
1779.5181521605962,202.69722,0.53344727,1.0,19.0
1198.8000014368515,98.03343,1.0083008,1.0,34.0
1876.477368700028,155.28224,0.19390869,1.0,20.0
1717.984533921882,315.45264,0.06335449,1.0,18.0
1672.9043058528914,190.78789,0.9577637,1.0,38.0
1843.9960220592636,98.93012,0.5230713,1.0,24.0
